donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,surface_disposition,surface_rationale
utls,dicttls/LICENSE,ac089a3cb515b32ba1c8c2b401646527f55815a9022013693d515f2e2e4fb6ec,1498,file,other,documentation,supporting-evidence,PR225-R082;PR225-M094,focused-module-documentation,focused module-level disposition
utls,dicttls/README.md,5c02a37c30760d4af6f6c8c0c0b95e8f1cec3b525dbd900faa60a51ebbe4b582,603,file,Markdown,documentation,supporting-evidence,PR225-R082;PR225-M094,focused-module-documentation,focused module-level disposition
utls,dicttls/alerts.go,8784054974bb66f498d58b69f48d7f5284efdcc01db4fe5ddef3a63d2f2a646a,4398,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0322,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/authorization_data_formats.go,86f09e0c2547d6e14c4c870ccd1d4978624d0fb24f8401383564d00dd6ae0315,1097,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0323,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/cachedinformationtype_values.go,96000280792b9cd933e8a5b98ae467d2e1ed62535b7db86840c616e5e55fc43c,451,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0324,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/certificate_compression_algorithm_ids.go,b2eab80278aa179000442686e8fd8258183eb482c5e0aa335316e115b1a902d7,522,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0325,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/certificate_status_types.go,df69968231908e6d88b9bdcdc880ff6d50e16ac3776e20bc0ff1cf5eede42e1d,444,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0326,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/certificte_types.go,59ba21c37061510971de99b3f3bc8e9a572971a2f2d0fdb5ab551395263d914d,593,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0327,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/cipher_suites.go,9ddaf5b351a07107c4474c5bf5b200e5e03a7de5a0332b5708c02803c1833c20,55813,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0328,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/clientcertificatetype_identifiers.go,060fa9f3b3fdf8b92fb5efa7cd44385df154aee2ee80928af84c51e062c52feb,1494,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0329,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/comp_meth_ids.go,f6c9079088b7854da6d073a20e338ba3ec6141447dcfc2aa6f57ec445d1212be,409,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0330,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/contenttype.go,ac89d47467631d66cb0739d2fd47c699803e570a3b9ca9236fc4cea41a675fbc,884,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0331,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/ec_curve_types.go,a33a7cafda9d0e6ee447621834adaa9a1f82f937ee28bd9ac64c8964a3124c19,499,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0332,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/ec_point_formats.go,84cbe01db7d7dbbfc84ba3bd9e65b3c0128d114882d3935aad2d1585feca415a,586,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0333,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/exttype_values.go,6c22e2da466622e92275dad79c4b2bd429a0c9448c0602d9341608e41e105bd0,9481,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0334,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/handshaketype.go,092979632e7d24a952e6ecc47e71a1ee59c05a0b13b8d590563b1f4820ea207d,3236,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0335,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/hashalgorithm.go,b7de62f071c8df3108917120983d24ccb2b7dacfe851f3516475754ea5dcfe1f,851,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0336,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/heartbeat_message_types.go,590e4d86628431b9d2e5df71de6754130e825ad98499417931a4d56b1967f958,447,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0337,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/heartbeat_mode.go,cddc9beefb52e5876ce65c3c66408c1d13dffe773ae827a6a96933f4e7ff67b7,472,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0338,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/hpke_aead_identifiers.go,474bc4fb0443cf04c1ff24806216c2dd282a75e54cfdcb8a19169c66397446bb,580,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0339,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/hpke_kdf_identifiers.go,c28efbb3887683d15ede8b0c1372c73a782d490b9180fea1378912c03642cf1d,534,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0340,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/hpke_kem_identifiers.go,6716d23789803cddd88e269bfae5a19d3b65bd6ce338e068de033a063ac8cf3a,1720,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0341,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/psk_key_exchange_mode.go,89859d538cb4495986191b396f4e158b48fbacbc8bd6af9b77911263b397df8c,415,file,Go,implementation,authoritative-source,PR225-R082;PR225-M089;PR225-F0342,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/quic_frame_types.go,f70d1f8c278d78832b569f305defd03eff62d0419a74951606402b59475b9bae,3684,file,Go,implementation,authoritative-source,PR225-R082;PR225-M090;PR225-F0343,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/quic_transport_error_codes.go,7291eb4c2ca206f357a177aeacd6658543b2714c84de34a9c3c5f7b8ac3220a2,2888,file,Go,implementation,authoritative-source,PR225-R082;PR225-M090;PR225-F0344,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/quic_transport_parameters.go,36f446045bd06403aec27202cb027073886c3b879799ac8d28095b524535a45c,4698,file,Go,implementation,authoritative-source,PR225-R082;PR225-M090;PR225-F0345,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/signaturealgorithm.go,660400d80ebc52749ae58d08286fe67f44db3e77889547bdca2362b9529d713d,1266,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0346,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/signaturescheme.go,94cd76aece96a01150b0831418168a8f28b093617e9e46403b502612a0c0d543,5062,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0347,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/supplemental_data_formats.go,174dc03af03b7c3be901710c334fa5c3d75cd6d5d6d4573f7b764bcc83a414d6,498,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0348,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/supported_groups.go,c03c91f5c10577090297dc68dc3c87a332ab7234f89189f7f93356810b554b10,6387,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0349,focused-file-implementation,independent file-level semantic disposition
utls,dicttls/usermappingtype_values.go,52d9d963402cb23dd5ba34274d945b6f4e1d579619e8275d886e3de38d9b8395,363,file,Go,implementation,authoritative-source,PR225-R082;PR225-M094;PR225-F0350,focused-file-implementation,independent file-level semantic disposition
utls,ech.go,ff53ff77949a01f1be2c45b1147133ac9324f8d7b18e9f044b96150f47e04b42,18735,file,Go,implementation,authoritative-source,PR225-R082;PR225-M083;PR225-F0351,focused-file-implementation,independent file-level semantic disposition
utls,ech_test.go,7b06353991391fa1d233fbf3162c8340cd90ede934b374819b83745487834f2d,2019,file,Go,test,authoritative-source,PR225-R082;PR225-M083;PR225-F0352,focused-file-test,independent file-level semantic disposition
utls,example_test.go,0c1c065aea98125a16fe59fe30df13e57400179fa5b3c2503fb3b98dcc99457d,8006,file,Go,test,authoritative-source,PR225-R082;PR225-M098;PR225-F0353,focused-file-test,independent file-level semantic disposition
utls,examples/ech/main.go,91ab7a937108f6f58e5a7471d850790ef92c3c704d16d136c4930daf9c5d947b,3603,file,Go,implementation,authoritative-source,PR225-R082;PR225-M095;PR225-F0354,focused-file-implementation,independent file-level semantic disposition
utls,examples/old/examples.go,b2fb9f6ad87fcc20cbe79632ace3dd25d5779d6c2481ee3d1902bb5f1bc6a22d,14947,file,Go,implementation,authoritative-source,PR225-R082;PR225-M095;PR225-F0355,focused-file-implementation,independent file-level semantic disposition
utls,examples/tls-resumption/main.go,a79dcbcf9e61443e7530cceb5cf0fa0f6ce30060710ab9cd738ba2eda32e0ece,5841,file,Go,implementation,authoritative-source,PR225-R082;PR225-M095;PR225-F0356,focused-file-implementation,independent file-level semantic disposition
utls,fipsonly/fipsonly.go,1456dc44b9b98752310983486e114ccb9ebab205af007f307953b6c572233669,904,file,Go,implementation,authoritative-source,PR225-R082;PR225-M096;PR225-F0357,focused-file-implementation,independent file-level semantic disposition
utls,fipsonly/fipsonly_test.go,7d919680f275124c44f17530119258b676240fb4de0facac678731662060ecc5,377,file,Go,test,authoritative-source,PR225-R082;PR225-M096;PR225-F0358,focused-file-test,independent file-level semantic disposition
utls,generate_cert.go,c4eca7cd7a7e96de36adfbdf58d62aefade21e28e0334d0610a8c22517957dc4,4947,file,Go,implementation,authoritative-source,PR225-R082;PR225-M098;PR225-F0359,focused-file-implementation,independent file-level semantic disposition
utls,go.mod,94d7f4353d809f36c82b13dfc7603c193b6a89a1767945fb7c8441ca0c206829,344,file,other,configuration,authoritative-source,PR225-R082;PR225-M098;PR225-F0360,focused-file-configuration,independent file-level semantic disposition
utls,go.sum,d4daed33ef335a900f1ee5fdeb1f240335587e5a94e1acc0384bc657dd8d1b36,976,file,other,configuration,authoritative-source,PR225-R082;PR225-M098;PR225-F0361,focused-file-configuration,independent file-level semantic disposition
utls,handshake_client.go,b1ede154557dfc2232fd14937071231082534c048a5a1a6b2241f854d3722522,42448,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0362,focused-file-implementation,independent file-level semantic disposition
utls,handshake_client_test.go,dd639b85dd221fb9968550fd0256e08547258d158c99ce1be43bf0e2506ec9b0,91770,file,Go,test,authoritative-source,PR225-R082;PR225-M086;PR225-F0363,focused-file-test,independent file-level semantic disposition
utls,handshake_client_tls13.go,3fed39a7d5ce8758063a5011243026ea6300575d896a7b5a97ec5b2efb781722,34378,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0364,focused-file-implementation,independent file-level semantic disposition
utls,handshake_messages.go,e4e967eaf9c6c57330e5297d428e13301dd43997e3b75e0417755ecbad5afedb,54976,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0365,focused-file-implementation,independent file-level semantic disposition
utls,handshake_messages_test.go,b9a6da73aa174c26187de0fb39beab2f88bcc1b0562f39f2e2ebc61804b75f3a,17054,file,Go,test,authoritative-source,PR225-R082;PR225-M086;PR225-F0366,focused-file-test,independent file-level semantic disposition
utls,handshake_server.go,8ce398bd135bd42b03fb2af14700e41525c1e215c7460839c3f8c2df64f34966,30130,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0367,focused-file-implementation,independent file-level semantic disposition
utls,handshake_server_test.go,f1d38280a3264556c0cfaa3a12abbe909c164256def54ed5b888b3526a9764c4,67487,file,Go,test,authoritative-source,PR225-R082;PR225-M086;PR225-F0368,focused-file-test,independent file-level semantic disposition
utls,handshake_server_tls13.go,5e8e24312426f56f86a6bf7a555571b4fa5566a9d36da174823e1151cbbbab20,35668,file,Go,implementation,authoritative-source,PR225-R082;PR225-M086;PR225-F0369,focused-file-implementation,independent file-level semantic disposition
utls,handshake_test.go,ec346a050ec4edf1c186aca12e87bed84d008c1dbaec70b95c9fba82de24cc49,33579,file,Go,test,authoritative-source,PR225-R082;PR225-M086;PR225-F0370,focused-file-test,independent file-level semantic disposition
utls,handshake_unix_test.go,2ea090e21bb6aa2a092ec1cda332a818f16c8b2eb03148e1782a675e281ce644,328,file,Go,test,authoritative-source,PR225-R082;PR225-M086;PR225-F0371,focused-file-test,independent file-level semantic disposition
utls,internal/boring/notboring.go,74a6fbdc124cd8f36b81a800999cfca749166adf7a6d491f62634d5d3bc5c74b,337,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0372,focused-file-implementation,independent file-level semantic disposition
utls,internal/byteorder/byteorder.go,c31dade373ba9a6970fdec0943cdf95b2a8ae1f0e057fdd581e50165aca26fbb,3550,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0373,focused-file-implementation,independent file-level semantic disposition
utls,internal/fips140tls/fipstls.go,ccb9b65dccfdf0157f363b9faca9998857b4fafff681c5cc64e846aab4283203,59,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0374,focused-file-implementation,independent file-level semantic disposition
utls,internal/helper/typeconv.go,23e0fa1bde5c607e3e67c33e77d76c9590d51ddeedbd474292221f5227fdb3cc,460,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0375,focused-file-implementation,independent file-level semantic disposition
utls,internal/hkdf/hkdf.go,b4931e5c11a216a4625111e5c2322c54e9dbd1e63288a1c9416418f568b79009,417,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0376,focused-file-implementation,independent file-level semantic disposition
utls,internal/hpke/hpke.go,0a1d5733b452bc0a82a19d83b56aedb57082a98e71769205023f1902d1ce9355,8784,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0377,focused-file-implementation,independent file-level semantic disposition
utls,internal/quicvarint/protocol/protocol.go,cdd8bcdcf3e198b128b4f409a337b76837d5b4d87d866bfdede3ecdcaa72cb13,4250,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0378,focused-file-implementation,independent file-level semantic disposition
utls,internal/quicvarint/varint.go,4f33f8863ff19768c0f868b47053ca5f046ed6b88ceb4224834e402d91a460e8,3458,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0379,focused-file-implementation,independent file-level semantic disposition
utls,internal/tls12/tls12.go,5a48194e340455f3fcd51d0027f582e00f6e8b13ee67f26581b13f4d796ecca7,1959,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0380,focused-file-implementation,independent file-level semantic disposition
utls,internal/tls13/tls13.go,cf55e8015fc575a39ed193b25f2b62d75ee009520269979d6fb64c42289c706e,6669,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0381,focused-file-implementation,independent file-level semantic disposition
utls,internal/tls13/u_tls13.go,6d3c6e9dfd52c6b866b154a25cc97b104183cad1c86e2c33a83bbde4f55def94,595,file,Go,implementation,authoritative-source,PR225-R082;PR225-M097;PR225-F0382,focused-file-implementation,independent file-level semantic disposition
utls,key_agreement.go,db368fa743f1842bda6b5f3e2ec7ce0dab4270aabaf3215af4b30dd397670783,12131,file,Go,implementation,authoritative-source,PR225-R082;PR225-M098;PR225-F0383,focused-file-implementation,independent file-level semantic disposition
utls,key_schedule.go,e0f27b2938eabad61e7494d825a608573cff9ec71f90937ae4bba9503c78f843,3131,file,Go,implementation,authoritative-source,PR225-R082;PR225-M098;PR225-F0384,focused-file-implementation,independent file-level semantic disposition
utls,key_schedule_test.go,6a12bca5eb09eb6cee718a151f0d4b6477731482c756a2bbf17c301c19e1f19c,5113,file,Go,test,authoritative-source,PR225-R082;PR225-M098;PR225-F0385,focused-file-test,independent file-level semantic disposition
utls,link_test.go,daf548449f209204ec097d65c2201c1e7f06c24c557086b706a39ea004426904,2453,file,Go,test,authoritative-source,PR225-R082;PR225-M098;PR225-F0386,focused-file-test,independent file-level semantic disposition
utls,logo.png,b99013d55cbcd9b0c42f1136e29c0cc96a550d08cc30c905e0ec93c80fbc5332,23577,file,other,fixture,supporting-evidence,PR225-R082;PR225-M098,focused-module-fixture,focused module-level disposition
utls,logo_small.png,23f539d79b632d4701b72de00efe6c739e9876ec6841f12f5c239fb2d7833de0,2028,file,other,fixture,supporting-evidence,PR225-R082;PR225-M098,focused-module-fixture,focused module-level disposition
utls,prf.go,2a0d206325923c76695860f5338249042dc65d785900271eaa0e396e4f6ce6e0,9386,file,Go,implementation,authoritative-source,PR225-R082;PR225-M098;PR225-F0387,focused-file-implementation,independent file-level semantic disposition
utls,prf_test.go,5d9dd8556fc5d51b2fe966a65ab7ed5a40ae435334e293ba4815cef3c9b87a9d,5843,file,Go,test,authoritative-source,PR225-R082;PR225-M098;PR225-F0388,focused-file-test,independent file-level semantic disposition
utls,quic.go,6c296d74fe43e61e274e49da01f459e07a41a70554eb740c4551e1022a429530,15421,file,Go,implementation,authoritative-source,PR225-R082;PR225-M090;PR225-F0389,focused-file-implementation,independent file-level semantic disposition
utls,quic_test.go,f56b6e084ea4141f703b0eb211d79e68e2f8c2590888f3bca385081a8006bd1c,21137,file,Go,test,authoritative-source,PR225-R082;PR225-M090;PR225-F0390,focused-file-test,independent file-level semantic disposition
utls,testdata/Client-TLSv10-ClientCert-ECDSA-ECDSA,2af2dbabca75edabc84f9fb9ed1a7e6c234c956b10c3df4fe090f0bce3ce8c5f,10386,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ClientCert-ECDSA-RSA,f261c9e76625eba325c3ba19b6acaedfb33f9153cff12b00d7690321be0499bb,10701,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ClientCert-Ed25519,a62032fa4087dcf05f647342bbbed84392eca8726d0143f49d1cb2c3a2b8620f,8456,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ClientCert-RSA-ECDSA,33ba893af14340375b41d569bfbc6873a27f67b16450d4144f43a476e6f59e30,10297,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ClientCert-RSA-RSA,1099c0432bc2522d997ae8a48e765ceb8f7d8902a88dac6b6c3d06ce696f46e6,10615,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ECDHE-ECDSA-AES,827772114e6017a91f83187b5b343e446d08caa2cd2154c1393db2b5aba0adfb,6984,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ECDHE-RSA-AES,26a7ff3aef86cd9971d1313453b950f9b116a810f5a14f588692edc8f5a2466d,7301,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-Ed25519,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-ExportKeyingMaterial,80e6d8ca283e5b029070f84821edc40543aae4bc50e18337abaea1cc55da8988,7301,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv10-RSA-RC4,1ba0c050fb81df23faba1486ba90800b2abaaf302c317b28834c42e5ae451315,6508,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv11-ECDHE-ECDSA-AES,547b46db070c25b2255876a8d9137170c912289005e1ae05c2951cb5f43bc030,7138,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv11-ECDHE-RSA-AES,012a3fe0148ea5fc5b8d19d1b24fb67b07732cd174da2c9d506a6bf6b27bc4c3,7454,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv11-Ed25519,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv11-RSA-RC4,69d2f3185a6ab5c5867908d3459c55b4f79fa5c6b0c3a4f1cc4ae20752934322,6508,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-AES128-GCM-SHA256,05a47d3577244541b2a9f2a30ed03277c4913c9bce0e98e965c4740faeeb45f9,6650,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-AES128-SHA256,93dca1d53907d4d1857dec81486d693e6688966264f1b218d2357f3450e35354,7369,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-AES256-GCM-SHA384,4223c8efea09454878318553fbbf00aac735efbee4cdb799dd150c8c0fb48067,6650,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ALPN,d7f7011919ebe0bedbc2d4d505af2e123412a3eb0a928f9aae485aa7058d4534,7054,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ALPN-NoMatch,a3eca15168789ecebd503af1fa5c3955aff08888e9c8ad388c464f8353b3d354,6891,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-ECDSA-ECDSA,9a89eaf148c732bc65cf5236d99e746b85b4fbf95f9a4654b07180219c933a07,10778,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-ECDSA-RSA,bc47ef02f7e24c334b3476415d65979be6c898e89fdac52cca473b8e0bddb31d,10756,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-Ed25519,1cf113169d5002e4d1334d3749105d4734274b835f0fd96056bef9de0b5fbb99,9183,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-RSA-AES256-GCM-SHA384,81bb9c5233b15d51d380885b6e2150110174456b9a7736ddd5c7d5f84adedaa2,10606,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-RSA-ECDSA,3a89a91b24759f9e2f74f16ed1f99b221cc0de008a5eb277d38e14773bd3e37c,10692,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-RSA-RSA,ce07c666b07af21f23a1cb221f18e35a40e2038482309f7d4c0a3aa67b47b00b,10606,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-RSA-RSAPKCS1v15,985c1035193b1b7497b7bf78fdca65c8f8606289cfd8485f869b2529d97b99f9,10371,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ClientCert-RSA-RSAPSS,ab587e5847519257f645f5b6d88bdd53f6aaebea3654c6e7ebe602ed2ef2830e,10993,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-ECDSA-AES,dae38515cc8f2f899183bfe7ac15718a0de35f967ec7e72e3584943db04bf3fe,7139,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-ECDSA-AES-GCM,ec7957c9c2beef349b5518483dc7de5cbbb19bef3d7ee824d503ee35892aeacf,6736,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-ECDSA-AES128-SHA256,565ebc58c3bab49812fd0dc97af1083c486b57385cdfb6163eb0bdbda88dab5c,7456,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-ECDSA-AES256-GCM-SHA384,84183d8231ff078fd1956dd9511013f18921049ba6296684b37163eed89e5410,6737,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-ECDSA-CHACHA20-POLY1305,4d9525d3d1b46009482fc992893676a87621b53ba17fb695296ce886ba08ef21,6348,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-RSA-AES,9dd4c72becbecdd0219c98b8116a6da65f92657dbd35e6bb5d2a4d7a87e3599e,7456,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-RSA-AES128-SHA256,f626e846658370e233b73015e33e61f21ddba92c5bcba0f7b3298dc59c34b2e7,7772,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ECDHE-RSA-CHACHA20-POLY1305,0347911a115af4222f35880af91feb3454592b8bcb56594e8a8d6c1a2e8b6b1f,6664,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-Ed25519,0c0ead076b954213461747bb64a73c05006cf4418b725e87339e6296dadcf0f9,5160,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
utls,testdata/Client-TLSv12-ExportKeyingMaterial,8df37196abff31db9b8c8717a956cd931169945a372c5a21838a605d8a6cc18a,6895,file,other,repository-administration,supporting-evidence,PR225-R082,accounted-supporting-repository-administration,supporting/admin/fixture/documentation surface explicitly accounted by donor record
