record_id,parent_record_id,composition_group_id,donor,domain,value_unit,source_granularity,value_form,separability,donor_path,donor_sha256,donor_symbol,transformation,mapping_topology,disposition,decision_rationale,target_capability,target_nodes,invariant,negative_invariant,test_node,operator_surface,migration_impact,license_note,risk_tier,dependency_record_ids,evidence_confidence,validation_status
PR230-R001,n/a,CG230-Hiddify-Manager-dev-root,Hiddify-Manager-dev,repository-accountability,Hiddify-Manager-dev complete archive/repository accountability,repository,evidence corpus,context-dependent,.dockerignore,22942cc4b45864ab6ac31687a88441b76653f235e025851e69e514e9131eef4c,n/a,exhaustive evidence review,one-to-many,reference-only,"Every archive member, regular file, normalized directory, indexed definition, and archived symlink is accounted before behavior-level selection.",convergence evidence,governance/convergence/post-refactor-230-surface-accountability.csv,all donor bytes remain attributable to exact source hashes,repository size or popularity cannot grant target authority,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none,source provenance retained; no bulk donor import,low,n/a,high,reviewed
PR230-M0462,PR230-R009,CG230-mitmproxy-main-638f386b86,mitmproxy-main,module-accountability,test/__init__.py module/subtree review,module/subtree,mixed evidence,module-cohesive,test/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0463,PR230-R009,CG230-mitmproxy-main-5baaf585ae,mitmproxy-main,module-accountability,test/bench module/subtree review,module/subtree,mixed evidence,module-cohesive,test/bench/.gitignore,5f10e60dd5f8a5e21a05e6054b0c90183b95739c21a6710c29384113c2e57bb6,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"5 surfaces reviewed; 5 high-signal, 0 product/UI, 5 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0464,PR230-R009,CG230-mitmproxy-main-7dae78a00d,mitmproxy-main,module-accountability,test/conftest.py module/subtree review,module/subtree,mixed evidence,module-cohesive,test/conftest.py,cf1e5ddd163680b4c6d8ea4e720b5b12489b4bc6975ff219447671e03ca7047e,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0465,PR230-R009,CG230-mitmproxy-main-a71749ae0b,mitmproxy-main,module-accountability,test/examples module/subtree review,module/subtree,mixed evidence,module-cohesive,test/examples/__init__.py,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 2 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0466,PR230-R009,CG230-mitmproxy-main-b58fbb4f03,mitmproxy-main,module-accountability,test/filename_matching.py module/subtree review,module/subtree,mixed evidence,module-cohesive,test/filename_matching.py,568468f3b9a62f535366313d6f521d742fdc4581cb5ab81310cfe299d2150ff1,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0467,PR230-R009,CG230-mitmproxy-main-7ff0ebe571,mitmproxy-main,module-accountability,test/helper_tools module/subtree review,module/subtree,mixed evidence,module-cohesive,test/helper_tools/bench.sh,52c79b4ecdae87da0babc763288d6806651391814cecdb9a61aac65a01e24784,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"10 surfaces reviewed; 10 high-signal, 0 product/UI, 10 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0468,PR230-R009,CG230-mitmproxy-main-03298084ed,mitmproxy-main,module-accountability,test/individual_coverage.py module/subtree review,module/subtree,mixed evidence,module-cohesive,test/individual_coverage.py,99e1139d6e04e20a7784896e5b02dc2f735a8a814290d77e51ace35bfa6c2e8c,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0469,PR230-R009,CG230-mitmproxy-main-62365bd1e7,mitmproxy-main,module-accountability,test/mitmproxy module/subtree review,module/subtree,mixed evidence,module-cohesive,test/mitmproxy/__init__.py,54daba8d704d0339edf9f883659cf63f8b9afa542b4ee4579bd48c98aa7f5784,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"397 surfaces reviewed; 358 high-signal, 0 product/UI, 358 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0470,PR230-R009,CG230-mitmproxy-main-319bc20b1e,mitmproxy-main,module-accountability,test/run-tests-offline.sh module/subtree review,module/subtree,mixed evidence,module-cohesive,test/run-tests-offline.sh,d833b92348008f70ef322a6858295a913a3d16064bd6b6c6c220bb61665efef0,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0471,PR230-R009,CG230-mitmproxy-main-797e1c8ef9,mitmproxy-main,module-accountability,test/wg-test-client module/subtree review,module/subtree,mixed evidence,module-cohesive,test/wg-test-client/LICENSE,3cae24aa4e2fa764f35b4554a108359e627905ddedbc3d662a90969a59643474,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"7 surfaces reviewed; 7 high-signal, 0 product/UI, 7 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0472,PR230-R009,CG230-mitmproxy-main-4b5e57f6eb,mitmproxy-main,module-accountability,web module/subtree review,module/subtree,mixed evidence,module-cohesive,web/.editorconfig,8474d1fc4dcde2d67cf45e0a4194a8c6f56ea2c0127286ff437d4803423a09c2,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"19 surfaces reviewed; 17 high-signal, 17 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0473,PR230-R009,CG230-mitmproxy-main-e18c628255,mitmproxy-main,module-accountability,web/src/css module/subtree review,module/subtree,mixed evidence,module-cohesive,web/src/css/app.less,fc4bd3b1991b5d128a98b7b566418fee7bed75a55087f991d2f1c7b649bc485b,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"18 surfaces reviewed; 18 high-signal, 18 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0474,PR230-R009,CG230-mitmproxy-main-c89a4b9c67,mitmproxy-main,module-accountability,web/src/images module/subtree review,module/subtree,mixed evidence,module-cohesive,web/src/images/chrome-devtools/LICENSE,bf0e044a4f101559bf1bb6c13b0dedb36b68d8778c272adbb25ef80a3bf1da34,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"17 surfaces reviewed; 16 high-signal, 16 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0475,PR230-R009,CG230-mitmproxy-main-6a0bc92dcd,mitmproxy-main,module-accountability,web/src/js module/subtree review,module/subtree,mixed evidence,module-cohesive,web/src/js/__tests__/backends/staticSpec.tsx,81830ea8773a85ab95d85473bf04c4c742a19a3e44e922750f07b36f592d0778,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"245 surfaces reviewed; 244 high-signal, 244 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R009,high,reviewed
PR230-M0476,PR230-R010,CG230-pion-dtls-main-bdcc6a2a85,pion-dtls-main,module-accountability,.github module/subtree review,module/subtree,mixed evidence,module-cohesive,.github/.gitignore,8a5b553ab15981445d3f12d1a0719bee4bbc9dd0e4feaf79a67b61fa30986191,n/a,mechanism-level review,many-to-many,accounted-reference,"13 surfaces reviewed; 0 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,low,PR230-R010,high,reviewed
PR230-M0477,PR230-R010,CG230-pion-dtls-main-2a6be3466a,pion-dtls-main,module-accountability,.reuse module/subtree review,module/subtree,mixed evidence,module-cohesive,.reuse/dep5,9f086c595a9266b77982c2d49e26889d639826aec39a2b8f0e96ea1a4af2e572,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0478,PR230-R010,CG230-pion-dtls-main-9a5d43105b,pion-dtls-main,module-accountability,LICENSES module/subtree review,module/subtree,mixed evidence,module-cohesive,LICENSES/CC0-1.0.txt,a2010f343487d3f7618affe54f789f5487602331c0a8d03f49e9a7c547cf0499,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0479,PR230-R010,CG230-pion-dtls-main-6d8749c4fe,pion-dtls-main,module-accountability,e2e module/subtree review,module/subtree,mixed evidence,module-cohesive,e2e/Dockerfile,2b12db08a21904e43bcd9a923e8c6dde5e486c28c0c0f534a9601c86491549fa,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"5 surfaces reviewed; 5 high-signal, 0 product/UI, 5 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0480,PR230-R010,CG230-pion-dtls-main-c590b3c924,pion-dtls-main,module-accountability,examples module/subtree review,module/subtree,mixed evidence,module-cohesive,examples/certificates/README.md,3708ab18c1c4c89c5d1c08d07731d9f2f1de458a1e62bb05147bfb7cd4933c7b,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"16 surfaces reviewed; 15 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0481,PR230-R010,CG230-pion-dtls-main-0eb53a8138,pion-dtls-main,module-accountability,internal/ciphersuite module/subtree review,module/subtree,mixed evidence,module-cohesive,internal/ciphersuite/aes_128_ccm.go,bf9a4707f1578b15f50ca5b157233046f16b7e7ce692e4e606641f1d512afbc8,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"20 surfaces reviewed; 20 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0482,PR230-R010,CG230-pion-dtls-main-4d48b311f7,pion-dtls-main,module-accountability,internal/closer module/subtree review,module/subtree,mixed evidence,module-cohesive,internal/closer/closer.go,fd431912edd1a7254cdd5e4a8f6c48866d7249a6a799a087649e9ec9226415ba,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0483,PR230-R010,CG230-pion-dtls-main-6f4c34f3f5,pion-dtls-main,module-accountability,internal/net module/subtree review,module/subtree,mixed evidence,module-cohesive,internal/net/buffer.go,33aa12a4842ff2317143267839d8f860574eb4900f4300198fc4a12ef37757e7,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"4 surfaces reviewed; 4 high-signal, 0 product/UI, 2 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0484,PR230-R010,CG230-pion-dtls-main-32707e5a2e,pion-dtls-main,module-accountability,internal/util module/subtree review,module/subtree,mixed evidence,module-cohesive,internal/util/util.go,d66a5b93f463a15766b8451d5e6e328c67622c0c52066f0b5472f18b2110a340,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0485,PR230-R010,CG230-pion-dtls-main-60f3c81354,pion-dtls-main,module-accountability,pkg/crypto/ccm module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/ccm/ccm.go,f309a52fa788c97c797ee9901c6ef9463bd65b570b08a220da2dbf838dbbd9b9,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0486,PR230-R010,CG230-pion-dtls-main-85cc3c7970,pion-dtls-main,module-accountability,pkg/crypto/ciphersuite module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/ciphersuite/README.md,684281095192ce96193e5ac14c335641f22eb4dc7674e41683d89d78d5c5e00c,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"12 surfaces reviewed; 11 high-signal, 0 product/UI, 7 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0487,PR230-R010,CG230-pion-dtls-main-69f03ca3cd,pion-dtls-main,module-accountability,pkg/crypto/clientcertificate module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/clientcertificate/client_certificate.go,5de81ced45697705cc4efc6ec6591a801138502bbd58c968b0aff115c9fb3d06,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0488,PR230-R010,CG230-pion-dtls-main-c3c01b202c,pion-dtls-main,module-accountability,pkg/crypto/elliptic module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/elliptic/elliptic.go,25d55a795a9e50ef1663b3b27f329c4940eaaac49ae0b5b8a890b21dd5d1f277,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0489,PR230-R010,CG230-pion-dtls-main-da93fcb126,pion-dtls-main,module-accountability,pkg/crypto/fingerprint module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/fingerprint/fingerprint.go,5a7796fc0e6a29fcdc97a5b5e974c30aca18fb692f222ebfe8258a1add14ed8f,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"4 surfaces reviewed; 4 high-signal, 0 product/UI, 2 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0490,PR230-R010,CG230-pion-dtls-main-81c1709785,pion-dtls-main,module-accountability,pkg/crypto/hash module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/hash/hash.go,8ec42afe398ef71b0dd86b8764a4ac22b88533998fd78f8d27697af6283ce0df,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0491,PR230-R010,CG230-pion-dtls-main-cc74203940,pion-dtls-main,module-accountability,pkg/crypto/prf module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/prf/prf.go,0a1f12cb2c29c1cbfe9ec9bb6447f8ee3ce9da768846339fb1252f144b68d6f1,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0492,PR230-R010,CG230-pion-dtls-main-eb2eb3e9d3,pion-dtls-main,module-accountability,pkg/crypto/selfsign module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/selfsign/selfsign.go,541d8fd75e2aed0131dc4713c535a6c40f194036a5ea3545ecbeee70acaeeb1a,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0493,PR230-R010,CG230-pion-dtls-main-0df12142c1,pion-dtls-main,module-accountability,pkg/crypto/signature module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/signature/signature.go,ef5c44671b9c80a61c71af3acaa524b79b34e9653ee7fdf55c6272926fdede68,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0494,PR230-R010,CG230-pion-dtls-main-e411758063,pion-dtls-main,module-accountability,pkg/crypto/signaturehash module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/crypto/signaturehash/errors.go,d22f1361aa747c0520966fa2d95b1fcee3ed0e4ef19294296b9ad1d2b946cf2a,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"6 surfaces reviewed; 6 high-signal, 0 product/UI, 2 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0495,PR230-R010,CG230-pion-dtls-main-e68b008768,pion-dtls-main,module-accountability,pkg/net/net.go module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/net/net.go,c126dff2f07f8eac993cb2f826600d15172984b0a376678190df2542312b0751,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"1 surfaces reviewed; 1 high-signal, 0 product/UI, 0 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
PR230-M0496,PR230-R010,CG230-pion-dtls-main-6c2779bd21,pion-dtls-main,module-accountability,pkg/protocol/alert module/subtree review,module/subtree,mixed evidence,module-cohesive,pkg/protocol/alert/alert.go,27df9c176042c20d9622d2f1589c319f25a7afad7b68032390618953b1c7c887,n/a,mechanism-level review,many-to-many,reviewed-superseded-or-reference,"2 surfaces reviewed; 2 high-signal, 0 product/UI, 1 tests. Independent promoted/rejected behaviors are split into focused records where applicable.",convergence evidence or target-native owner,governance/convergence/post-refactor-230-adoption-ledger.csv,module-level context preserved around per-file decisions,umbrella records cannot hide unresolved high-signal files,scripts/checks/check_post_refactor_230_convergence.py,governance/convergence,none unless focused records say otherwise,no module copied wholesale,medium,PR230-R010,high,reviewed
