donor,path,sha256,size_bytes,type,file_type,language,classification,authority_status,symlink_target,semantic_record_ids,surface_disposition,surface_rationale,notes
l7mp-master,python-client/generate,a3766c253cbccc2025550971eb909d5055131ca3d0a261cf84dd0a224f4aa06f,394,file,file,other,fixture,derived,,BASE06,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7mp-master,route.js,8836dce2b15e393d0cb22049710d68ec8b9e57f58059ab48d961d790327724db,1983,file,file,javascript,implementation,authoritative,,BASE06;L7MP005,reference-only,"The donor control-plane object model was reviewed completely; only health/load/stickiness/freshness primitives fit target owners, while listener/session/config authority remains superseded.",Focused semantic link(s) plus base accountability.
l7mp-master,rule.js,6704f310f15c571a32db66c19269f1e6bfb1c7a80f4473591d63a3447e4b8d84,6339,file,file,javascript,implementation,authoritative,,BASE06;L7MP005,reference-only,"The donor control-plane object model was reviewed completely; only health/load/stickiness/freshness primitives fit target owners, while listener/session/config authority remains superseded.",Focused semantic link(s) plus base accountability.
l7mp-master,session.js,b92a72b91fefcc9b97647019af5dd60fe879a18e99b1f86f09bb3be34833ebc1,39295,file,file,javascript,implementation,authoritative,,BASE06;L7MP005,reference-only,"The donor control-plane object model was reviewed completely; only health/load/stickiness/freshness primitives fit target owners, while listener/session/config authority remains superseded.",Focused semantic link(s) plus base accountability.
l7mp-master,stream-counter.js,0fa1d4d4847bc17a435d5498d09dfb87ef0efd545fbb656e8c84dfd7303e45c2,1273,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,stream.js,8587e21c38d82de47261328f9ed790759786398ae9269383ddf801e0516cdaf4,9758,file,file,javascript,implementation,authoritative,,BASE06;L7MP005,reference-only,"The donor control-plane object model was reviewed completely; only health/load/stickiness/freshness primitives fit target owners, while listener/session/config authority remains superseded.",Focused semantic link(s) plus base accountability.
l7mp-master,test/04-getAtPath-setAtPath.test.js,8186aa5d6808e82b8b8e64b6b9aac4ce472899584ee19c5e59c9ce4f9dd18351,17546,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/10-JSONSocket-endpoint.test.js,93385dae6d91b3cd7cdcaa1eb865ab51af7c0648a3cfdf87c9601e8eebd0ab59,2323,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/10-netsocket-endpoint.test.js,7d5c6d6a8471b18cda34176e0c69b75f0234c85649a5946b766ea26a3426db92,4484,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/10-test-endpoint.test.js,43d9397d6fbd5ff10ccadd4cf8283bdceb478be9336b53f232472e4c36a0b52d,4950,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/10-udp-endpoint.test.js,c1c4c87e74bb716e0d48cfa2f9dc0bfae386d52ad545e2c33eafdffaeec79d92,4369,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/10-websocket-endpoint.test.js,7c4c69dffdcadc78a901db9b45e057fe17ca9efeb1187a49b2e890461816f366,4670,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-echo-cluster.test.js,7ffc4bbb6f20a33bb41c264b0224f034fd407157f4371c8674b68970bda4e432,3486,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-jsondecap-cluster.test.js,2dc9c3e2ba856cced2ffa23eb9dc06527a5cab39893486a535fc26820f4ffb5f,3982,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-jsonencap-cluster.test.js,1850581baf6348ca5e863c3720c6c02ba1d1cb8770e41ff60b1f7b35d2933804,3317,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-jsonsocket-cluster.test.js,dc9bc78295d443e699b642a32761500cd3f798d986af93bed99a04bec04be843,24982,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-metric-cluster.test.js,2c84f6f4a8e606d976c24e2f0694cf1ccc6a459593508e4a8ab71211640d2a44,3833,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-prometheus-cluster.test.js,d90f14ab3cd1fcb2e1dc47670fd5ced1c39672954c009c6fc31396637d4736bc,3357,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-sync-cluster.test.js,bbbd2567393301ac3be8cb99406cf994f08197fbcd329bc7478e53850b9d070d,6498,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-tcp-netsocket-cluster.test.js,9b1a432a80a30c9c4a9eec021885306f3923c11b2141e187949f334c78b899cc,5852,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-test-cluster.test.js,c18b16dfbb861729098c38dd40096716e5dde5f7f0acea6d070f5ff3bc2761be,6610,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-udp-cluster.test.js,8a043c81941604628cfc1f5f6e564d59f500e60ad4363754f4c2015e6ccda7c3,6400,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-uds-netsocket-cluster.test.js,b7c43529e443ccf7bae12338983629b0ced477d73dfd755a72cbf4816a5391a6,7328,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/11-websocket-cluster.test.js,6b03b68a5536871f10322e74cc5867505f300bea2718eaf8bd43b208058b9ff3,11535,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-http-listener.test.js,fc2806c9dba7dc2ce23b0027d67f6c905188c926eaf41a958b96a02109006a19,5738,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-jsonsocket-listener.test.js,284f6af4ea508df0955dc2d8a7bcffc91500cbd42bffffeed478ce1b31d2e767,11365,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-tcp-listener.test.js,1b6267e1491b5bb075e9401ee624b422c47e8741cd938fa167ecf7f01f7e1f9d,6466,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-udp-server-listener.test.js,a94e6a13d10f2900cfff7b2140f143132caa60b85e53a00acd86df4838bd840f,42203,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-udp-singleton-listener.test.js,7514c84b746b4f30da5ab0cbf67ee9e51b8b24b59ccebf3187520d5114921c27,10689,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-uds-listener.test.js,4d770113c4ccda75a9df4a5f03caaaa257ee122f5f1a80695105d65b9cf657ee,5664,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/12-websocket-listener.test.js,379657dfab5bb37ea99f2d91a24d7f94ef0f1ab28ee58ca916131ee0e9a17bb3,5830,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/13-route.test.js,a27494c9c2da491569662918fd1c78c8a8a35b178a7a1ea54991b8359f903592,2565,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/13-rule-list.test.js,c6cd24097cbe1b9d2d796115e349c1d6234adceffd0d517321131b8426e30921,5001,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/13-rule.test.js,ecfba7d327f2778770feec16666d5e46756c2dfb063aa425fe2bbc66f1d655e8,28814,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/14-loadbalancer.test.js,39920e0f6277aff479774970256bd1f3ca40f96660c6ac3f707310656d951033,5733,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/14-session-retry.test.js,587f1e7329e5e8d0f2926ad1b705ce86bb9e62aedfacebab4bfdfac75406308f,34549,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/14-session.test.js,eaf8c1b1872e387b8fbb301bd82c281636f08dc146c98241e1972c72db9d356e,45461,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/20-api-cluster.test.js,70dcb9ca5dec3e370e4eea4656760f29ffa925dba256be0764c8785e63080cbd,38259,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/20-api-endpoint.test.js,7126c335973c918a1f611cb7d5bcf678ca94e42547f4a8830722169f679f5644,21368,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/21-listeners-api.test.js,72e69327308f7696e5342afd933df6c06c2ede5b211efcf62038b5c94814f8c8,31626,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/22-routes-api.test.js,3b79e93ddb3b1a6719c17493a6882953f4ef1cf69b50e10b38f924c0a71c5225,53464,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/22-rule-api.test.js,e573dcecfe8447239c4fec9ce422a48ffa19c05a127b6caf09260700ab63c752,20288,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/22-rule-list-api.test.js,a1b1430b520bf351c2ff03bd5482758666874bdbf34e7499c909dd8a82b2c201,27268,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/23-api-session.test.js,a9b7b2ae7b721a9ac00b7d508c1e3bb9cdb5fdc9a2e57bd6ff6e4412e8a3304b,13099,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/24-api-config.test.js,f005b8dcf7fff0f1b50ae7b58b336025b46e2dbc8a45277f386d05ae8866aec8,4603,file,file,javascript,implementation,authoritative,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/30-udp-offload-test.js,d35e7b7d56b30fdec12ac6f451a1a3d3ba0f7ad4623c3f4b73e1a8223f57ce4f,4502,file,file,javascript,implementation,authoritative,,BASE06;L7MP001;L7MP003,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,test/TODO,51b38474e8a6a8e1b90c0b975209257e2244d9eec73d3e30673db0d04cf6c416,1814,file,file,other,fixture,derived,,BASE06;L7MP001,recomposed,Health/capacity/stickiness semantics strengthen target selection when bounded by existing quality ordering.,Focused semantic link(s) plus base accountability.
l7mp-master,udp-offload.js,a3f2891c81b1583674106347086bf64b60bcd50d4a2c0e9130a45c88d8cd5d91,11648,file,file,javascript,implementation,authoritative,,BASE06;L7MP003,rejected-with-reason,Privileged kernel fast path would expand deployment authority and is not required for target correctness.,Focused semantic link(s) plus base accountability.
l7-protocols-master,CHANGELOG,d5655128c499424ab2fb9819f392ccbcb47a5336c4a3e58f28a8c32fa8621158,15371,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,HOWTO,060a2b207341dfb4716c245552bb35d12464fc2957abdccdfbba31f4aeba46de,126,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,LICENSE,d74bfaa175693a28db276450d9ffe95bde016c03febaa359e056c477cde4e19b,34568,file,file,other,governance,descriptive,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,Makefile,6dfde2da751045eb105fa9385038a36a717354d04ba50c8aac942fe936234caf,219,file,file,other,configuration,authoritative,,BASE07;L7PROTO004,reference-only,Grouping/build scripts are useful corpus-management evidence but do not belong in runtime admission.,Focused semantic link(s) plus base accountability.
l7-protocols-master,README,5367e779b1c253f1db87cd339c78e23c8b419caf7eae3c6a49f1d3dc49a49430,1489,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,WANTED,c009dcb672ae977498fe58ac5f1ff52aef9f966dfbab8ee4f067e46aad622f39,1329,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,example_traffic/msn_chat_and_file_transfer.txt,57438a3abd82c27ed47d8d2b9330ab38fc40a214a698423373036384b0650c26,5256,file,file,other,documentation,descriptive,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,extra/README,0a85907f4042d7ed7de584156dbe907ec5623e24805a2a82efc1750b280413f0,327,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/audiogalaxy.pat,4e9e34f2d6e17e9f6861295ba038ddd9d61eb5c3247d4d8ebd4f9e0c2fcba226,731,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/gtalk.pat,be406bde96672878b9f23b3d6e2ea4469a7f98369a4bec2503fd027c55dd1d0e,315,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/http-dap.pat,3b28a168b968d44ca4f39d5fa3dabe522bdbc6e3d46b1c6def5e7fd4fe1dda9d,625,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/http-freshdownload.pat,6d2173a9b72337d91bcbe0a8daf3cb1f33c539e48a5db4f59843e157037c137a,597,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/http-itunes.pat,81b495ead774a261018db2cf5f24bf119e567b5417df7c21e604fad6b1889aaa,488,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/httpaudio.pat,1c6d64037accaf068c3b2b4287509f413b51380b262535661ab99ae7518ebbcc,1286,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/httpcachehit.pat,ef03989c27cb0a3a61ee2b01eacfd4a28c77c8f1ac816dbd511b39e5303ef9a4,718,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/httpcachemiss.pat,9ad2781843e4e1afd5fe8ca87dbea68b8672e8b19f34c253590d58da3574c8b2,657,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/httpvideo.pat,70866c8cb6a7d1bb4359d8e4276c487065e64b3f49443e0f43416d7317811a9c,1286,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/pressplay.pat,f8d36fb4199107b091c77dbeb805a84719a57ae74139c399f55e545f6adca2d5,515,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/quicktime.pat,8d5540ae28bca9399d877fa6a183262e152aa98830c15aa608e90089cce641af,899,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/snmp-mon.pat,552e7c26c4dd434ee34903b3519e9b73c70605554de0a7a64ebdcb90a6a5873e,1300,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,extra/snmp-trap.pat,454fd69d95181250ac1173a57ffec79ab53f4002d8617e47a6064400654490fc,1270,file,file,other,fixture,derived,,BASE07;L7PROTO001,adapted,"Protocol signatures are valuable as bounded offline evidence, not as packet-inspection authority.",Focused semantic link(s) plus base accountability.
l7-protocols-master,file_types/README,9b29cd525595b4ea6ade25c3ae7a66528bfbe25da17655bffcfb07df4a52f361,2690,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/exe.pat,f95e77ebd42739a0d24f615ad2e9f20fd529638abd2daea37913aaafc6ea86d4,728,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/flash.pat,778156d9c36623a812bd843a557fdf1e5a79e861d1b37dd0fcf366399cee105a,581,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/gif.pat,5b6f809c783069dd7916fd457690e2d77fbf58de34f15b1dfa871ec2c04c9daf,222,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/html.pat,9226eca459d1c1d94563645c0543e5065b1830f4be99b0091422c76d2a42e620,394,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/jpeg.pat,50058e3ed15a8251cdee910a9e8b5f19d165081b262205cb110ab805d5fe2464,234,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/mp3.pat,2b35a309fceaab40548c614f7ea7ff94985949f3de346297dab03454365b3eaa,343,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/ogg.pat,975de6300a4e490a46df021be3c2e6acfb1ce6a7de77e0057549fef84f50ead0,274,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/pdf.pat,cbc5798085f64c9729a88c863c4ed088d5095b916811230d18a2dc108dca638a,379,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/perl.pat,09d963288c25b6738f1014697de6f0ebbf9e1b1c2f07ebec46c0fd1d26011da7,221,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/png.pat,64013cbf3b60818617e1fbe47b466d9d79a4ab3b7590c0a1977547d50e61623c,399,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/postscript.pat,4c8e6ac51c7c81668bc671b6240ab5d09cb75c3df2abf39d3dc513075cf9ede5,189,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/rar.pat,f63494f9e86b463410d8ca7f25654f9a892cf6eeb25c02b0a47ee605f48f0a42,201,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/rpm.pat,d5259d2adcf96bcce1cbf524d8dd56c24dc79e91e49111ca204c737e000be8a0,217,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/rtf.pat,a0a3dc9f2ec1be83d0bb5979684e4f2e50b69f83c6d23a1991a0a8b73346fc65,208,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/tar.pat,c098ca65574c2cb5a292a03cb1fa1a7feaf2dfb6437586a3099d38856ee65bc2,452,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,file_types/zip.pat,a43f1c719ee501b9999dc7f980b2746001ede9b055dde8eac3838bd4de36f086,201,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,groups.sh,43cea311135c3f0a748b130bab8076a9a6ffe4a00ece15a8e9be8eaf83160be0,110,file,file,shell,script,authoritative,,BASE07;L7PROTO004,reference-only,Grouping/build scripts are useful corpus-management evidence but do not belong in runtime admission.,Focused semantic link(s) plus base accountability.
l7-protocols-master,l7-protocols.spec,1bf64722127b3493de9560e3e1feeb22b7ef6ce0d78839d79761189d19a5edee,889,file,file,other,fixture,derived,,BASE07,reference-only,Supporting/package/admin/media/fixture leaf is explicitly retained in donor accountability; no independent target mechanism is justified beyond its donor/context record.,Explicit supporting leaf; base donor evidence only.
l7-protocols-master,malware/README,e83b0bea4311ae0c981ba27fccb14f64d0a00929aaabe1833a5d319c436f88c6,580,file,file,other,fixture,derived,,BASE07;L7PROTO002,reference-only,Malware corpus is useful only as classification/test evidence; live DPI would enlarge authority materially.,Focused semantic link(s) plus base accountability.
