donor,path,sha256,size_bytes,mode,classification,authority,module,extension,semantic_record_ids,post_refactor_232_review,post_refactor_232_disposition,notes
outline-client,src/cordova/apple/macos.xcworkspace/contents.xcworkspacedata,a41456474058486407f2d05f08dba97dfb3aa8bc5a6a50ebbb451b194b5e21dc,180,0o644,operational,authoritative,src/cordova,.xcworkspacedata,PR232-F00154;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/macos.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,dfa0f9bb85b95ccba9c6811adadf8cb407fb5d52088e89db83ebc308ec448542,238,0o644,operational,authoritative,src/cordova,.plist,PR232-F00155;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/macos.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,11b247bc6796892d67c9a821d18604db4dd6a880981b34f38460b9866e6b247f,226,0o644,operational,authoritative,src/cordova,.xcsettings,PR232-F00156;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/macos.xcworkspace/xcshareddata/swiftpm/Package.resolved,49e2a99af0b66a9eb38f532a6101c257147c6e4f93a866ed9582c7ab522979aa,851,0o644,operational,authoritative,src/cordova,.resolved,PR232-F00157;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/scripts/xconfig.sh,282e4967c9606e0f4b353eebd44b45c3598ae5b08f2080e904be1b25437f65b7,2945,0o755,script,authoritative,src/cordova,.sh,PR232-F00158;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline.xcodeproj/project.pbxproj,ba8826d5dfbd242cb3d4ee077c66c8e69a3e716630a6dd5f4bb0ecc2692753d6,55159,0o755,operational,authoritative,src/cordova,.pbxproj,PR232-F00159;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline.xcodeproj/xcshareddata/xcschemes/Outline.xcscheme,19160fb89956a4eb637b9eccc1ff28851ee44fcf28f953acaff15ef875c8341d,3343,0o644,operational,authoritative,src/cordova,.xcscheme,PR232-F00160;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline.xcodeproj/xcshareddata/xcschemes/VpnExtension.xcscheme,795d325d4b79730e560080c4dcbd39e76423039fde8dae7b2b02ad5cd341395c,2906,0o644,operational,authoritative,src/cordova,.xcscheme,PR232-F00161;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/Classes/AppDelegate+Outline.h,4f4cbdd0eb70d80b65bbd825cae39b070f066818d8af345d72d70595b07bd77a,783,0o644,implementation,authoritative,src/cordova,.h,PR232-F00162;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/Classes/AppDelegate+Outline.m,42de9f1444d47930bf481cdf921efdfaaa236a405908dcf5b6ce08ebc8f991ad,1199,0o644,operational,authoritative,src/cordova,.m,PR232-F00163;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/Outline-Info.plist,e94e8165a159d13168583be2e021b6f3703b6a3414ebca7b1e7805417c21d987,2058,0o644,operational,authoritative,src/cordova,.plist,PR232-F00164;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/Outline.entitlements,c3f49809a3442d7cb27e57023006f4e2a6b4827a29f838c93520f4b0a4bced22,533,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00165;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/VpnExtension-Info.plist,c2a2a1a4bd0a5e326ccc5238173324b8bdbc424e0c87b0f79c19fd065098feaf,1023,0o644,operational,authoritative,src/cordova,.plist,PR232-F00166;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/Outline/VpnExtension.entitlements,ebf95822de406b0469ad5d35d79a3c53009b97d9ece15cff5bebd65d98b994a5,588,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00167;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/ios/OutlineLauncher/OutlineLauncher.entitlements,e0c44e866858c35f1802497595c3a0e9fcbad4731d13fd0f8add5e281d8c14b6,567,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00168;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline.xcodeproj/project.pbxproj,bf0374b862458a53ca44fcb8952e8bbaae700caa21824f0f7fb1d85814b09926,45717,0o644,operational,authoritative,src/cordova,.pbxproj,PR232-F00169;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline.xcodeproj/xcshareddata/xcschemes/Outline.xcscheme,4f49fa0b742e5feee3d6c39be9185c93ea7aa9940f2af468ba701f3ed90b269a,3343,0o644,operational,authoritative,src/cordova,.xcscheme,PR232-F00170;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline.xcodeproj/xcshareddata/xcschemes/OutlineLauncher.xcscheme,4cb1d7cd4a1993e7948d6ba1a526d518d4e73aa8640553fea5004c2a59587b48,3407,0o644,operational,authoritative,src/cordova,.xcscheme,PR232-F00171;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline.xcodeproj/xcshareddata/xcschemes/VpnExtension.xcscheme,3f31e9f95fab1fe5204e74d05111b0c63f2b318cf7ced34523c4222365e1699c,2906,0o644,operational,authoritative,src/cordova,.xcscheme,PR232-F00172;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Classes/AppDelegate.m,c374185fac477221a13c74a0f898a427feaf9ca4b3ac40c5208706c5cfbdeed0,7066,0o644,operational,authoritative,src/cordova,.m,PR232-F00173;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Classes/CDVMacOsUrlHandler.swift,4091c6d318dc85c33a8935bf57c27b54fc31fb3b81860e0f9521f3e0b71a7a78,2323,0o644,implementation,authoritative,src/cordova,.swift,PR232-F00174;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Classes/EventMonitor.swift,81af66d99abf411d3bed9c4d97abadb80e719568bf592eb15468822193d00724,1191,0o644,implementation,authoritative,src/cordova,.swift,PR232-F00175;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Images.xcassets/StatusBarButtonImage.imageset/Contents.json,f49922eba8ae8b547c456cf07bd7e693a679bb7b203b587be5b348a58a3d793b,317,0o644,configuration,authoritative,src/cordova,.json,PR232-F00176;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Images.xcassets/StatusBarButtonImage.imageset/outline-black-off-2x.png,96682a0c694f3b034ed385eecc7e283a2cc861d874b0570872d9265c4ebc323f,578,0o644,media,derived,src/cordova,.png,PR232-F00177;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Images.xcassets/StatusBarButtonImageConnected.imageset/Contents.json,8468093f05baf0b880ac143756e73be19b3aab10dc04b06ff5b1d058778b71b0,316,0o644,configuration,authoritative,src/cordova,.json,PR232-F00178;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Images.xcassets/StatusBarButtonImageConnected.imageset/outline-black-on-2x.png,71877dcc741a87558dd0a204b584e4a21ed7041c41c634f3a80708de2245dac0,563,0o644,media,derived,src/cordova,.png,PR232-F00179;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/MainViewController.xib,303b32e969fc6aafd8b04ab401a9e2a5699c5133211681d0735b2e90f2f2f908,27608,0o644,operational,authoritative,src/cordova,.xib,PR232-F00180;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Outline-Info.plist,073d27487212d888ebaf8278a1a12a31815d0a79daf654b752dddf060e17f494,1438,0o644,operational,authoritative,src/cordova,.plist,PR232-F00181;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/Outline.entitlements,45791d9f7c4f884317faaed8d38de12d6e425d05ed040ca4b7513c1980aeafbf,607,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00182;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/VpnExtension-Info.plist,cf9683c1dedf44317e1b67acf7ca5eee172114425cfca6151df636a7a3eea12c,1104,0o644,operational,authoritative,src/cordova,.plist,PR232-F00183;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/VpnExtension.entitlements,204b71192874add89769e5f1c0be489d2829c2b5a004418e8d026fabac0d70e9,677,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00184;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/Outline/config.xml,dcd818a0edaa82aa34ddd8064ca0dfd4f7f10ff4fd9432a0781bcb75ca7445da,2270,0o755,configuration,authoritative,src/cordova,.xml,PR232-F00185;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/OutlineLauncher/AppDelegate.swift,3ba5c060385bb6e1cc6601ce6b5a598ab52c6af7ab41d3cbeef0d05ff0d3304a,1884,0o644,implementation,authoritative,src/cordova,.swift,PR232-F00186;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/OutlineLauncher/Base.lproj/Main.storyboard,2b8a21d52c4c5ea5e63f9f5831530b9cd76c04b8e5a68b209c0eeb7cc9e00c07,1277,0o644,operational,authoritative,src/cordova,.storyboard,PR232-F00187;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/OutlineLauncher/Info.plist,e1ec2139681a081f30aa0028ea840543f889971b13812b5f1b7ed25e29ba3ae0,985,0o644,operational,authoritative,src/cordova,.plist,PR232-F00188;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/OutlineLauncher/OutlineLauncher.entitlements,37ea75e6ef886c26fa9827b8640126b79496af6a48d8f2ee4572f42a8b9bda0e,446,0o644,operational,authoritative,src/cordova,.entitlements,PR232-F00189;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/osx.json,d605f4dab3feac6e62f229c107a5122f140e91e852844e10c61dd866bb0a993e,1515,0o644,configuration,authoritative,src/cordova,.json,PR232-F00190;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/apple/xcode/macos/www/cordova_plugins.js,20da14e68c2374642c4dc4e8761af19b39c6d77575a1a56f6a8b5265e52a7d60,695,0o644,ui-or-product,authoritative,src/cordova,.js,PR232-F00191;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/build.action.mjs,da1186dc8d318c7b4537fd1d89549c663a347e8330f930143ab6a18238e83452,5886,0o644,operational,authoritative,src/cordova,.mjs,PR232-F00192;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/import_messages.action.mjs,a94f6e10c433777111431c5a2c697b2f91af19f64356266816170bb405735bb6,3379,0o644,operational,authoritative,src/cordova,.mjs,PR232-F00193;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/README.md,c9ab9d98ae9d3e3171ac7f6b11efa476d97b9633f3b983789635e1cdeb6c0899,1507,0o644,documentation,authoritative,src/cordova,.md,PR232-F00194;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/java/build-extras.gradle,652575aa31e91e829e1af5a300a0a26f5ac4befebf0a7649830a70b336dfbe5c,274,0o644,configuration,authoritative,src/cordova,.gradle,PR232-F00195;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/java/org/outline/OutlinePlugin.java,1a33a064b268f591fcf9092f8cac9ce33c3aba075a39a9947c128702c598837d,12821,0o644,implementation,authoritative,src/cordova,.java,PR232-F00196;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/bypass_subnets.xml,287877987954bdf6fe16b39f08fa1f9876e75d593b99edf54bb351daa7d63c1d,4731,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00197;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/small_icon.png,c819bf588110d189d47b7f52e3680383d7b325cc8c433950faa0617dd1176d6b,820,0o644,media,derived,src/cordova,.png,PR232-F00198;PR232-M0031,fresh-byte-reverified-and-context-reviewed,accounted-reference,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-af/strings.xml,b8c52b4a0445acc79a3c73ea179256b1c070ceb0caa11720742edb1b7d638d9b,425,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00199;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-am/strings.xml,08d1fe2d30db91372e7445290b991b29ae5f032d02e012e6d3cb952c016a54fe,483,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00200;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-ar/strings.xml,9c3d4713e791a60e4dcd289b51193b7943dc1933c3be21ae40b43fd749ce5d14,444,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00201;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-az/strings.xml,9f86ae2cf39e6cc81f1d3ad5555663975b7ef89cb03924c688554bd528b05797,426,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00202;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-b+sr+Latn/strings.xml,fbf98f0998c6a5e7240d81e85c6772dd713e37717e72c41c3b3daa61b173d11e,437,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00203;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-bg/strings.xml,c8b7f5660fd880c4a52ee0d9ceced63ed83477f71f0ce97a181dd8248e1512a6,504,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00204;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-bn/strings.xml,f77be500a0913a4a9e0b2b1ad1d25f05899882413fc5cfd88c64cba64218063f,516,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00205;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-bs/strings.xml,8a3406def858e07557efa6f3a1b8e8a71172b6ea66c8f6cda0b3cefb38d693ca,427,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00206;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-ca/strings.xml,d87c49d8bdefa2c649e61f3da1ffeb3f9786571693df4692018c5f2bd497be11,442,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00207;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-cs/strings.xml,e7c668b6a782685cbe20cab385e011c90a88fd2d01579e1d3834cf90e9dd2446,439,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00208;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-da/strings.xml,b760598af732e0489951aa88880665f27149063577106b8fa965adbad2c11b14,434,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00209;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-de/strings.xml,175a788d91835a451637b574292ce72ddc28a838112e532cafe66d09eb315d49,442,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00210;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-el/strings.xml,c0edfd9b4e27e8f8ea706eb0e83a1a784a620b3cf4ffe4c4e30f15e3401c2e2a,464,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00211;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-en-rGB/strings.xml,f32cb285318f5fa9b20a29badf9c1d424610babadd182697b0c436f2f99a5168,421,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00212;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-en/strings.xml,aedff5846cdaf9103b9e2e638f93ba90fbe652c69f826de05a9af283d30e44a6,421,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00213;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-es/strings.xml,6d3e0622f60d7f060dd739b9672356dab028f34042d3a2129a5cb532ffd9a6eb,434,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00214;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-et/strings.xml,d0dd25bb770c219b2019d2f02555f5c3745013e9f0ba4903c1c44e4c6083db61,435,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00215;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-fa/strings.xml,84628641db245bb44abc3f5011e4b5ba81e32c834f11b5f9694efd8992b969be,447,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00216;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-fi/strings.xml,2be58a5c4ab7251243c632b12c193f42e26386d481a6943f64e9d5616ba42e0e,435,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00217;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-fil/strings.xml,76363ff58b4556b1052d626bbe5e40527991757591c89cc10bf856dd928a72cd,436,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00218;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-fr/strings.xml,ad80a87ced888d1d3634ab8bfa4d4e02ad02065caedad3a9ecc78d16cbffef7d,421,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00219;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-he/strings.xml,2a6e32516fc0f03738ab4a8cc8882b6bbc111bbb88b86342de65ff3bf17a7b79,442,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00220;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-hi/strings.xml,daefa4fdbe6b5f39a28b7307ca6c2ca2efbb782f6307e8debc5da931344d2f89,522,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00221;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-hr/strings.xml,c9501c2f46cb422ea94be359b1cd92a84571f662221e9dc7c40e09b004446dc1,436,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00222;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-hu/strings.xml,9747fa8cc7c2924270e264762addbe2f8af40b15f77dfa807f2fc80075a82f5d,432,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00223;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-hy/strings.xml,3c200bb0602a041d5cc6ac783fe0767018835fce85a7fa96ba82fde4e4e5295a,461,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00224;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-id/strings.xml,b3c0dc01d800c98a86ec014d899b0fa0dae5c017bc357a004ecf1c852554909f,430,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00225;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-is/strings.xml,35c5e70f57114e52a4db64e4412233515a11797940c8b18834326045bee8b780,419,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00226;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-it/strings.xml,c6c70000ea33446bc9a1fae2fa0292fbbd7997474b0cdd7d4573bcd9f79fec28,430,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00227;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-ja/strings.xml,73d25d3fbff3dc5cf5be795af4888312707228245d9f514c79eecb337074873e,448,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00228;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
outline-client,src/cordova/plugin/android/resources/strings/values-ka/strings.xml,5ba43da15c7ac0a69e20d056e042672ef4d8063ee9492baa7b4954f9a56c5478,556,0o644,configuration,authoritative,src/cordova,.xml,PR232-F00229;PR232-M0031,fresh-byte-reverified-and-context-reviewed,reviewed-target-fit,Exhaustive per-file accountability; focused semantic rows retained when independently meaningful.
