donor,path,sha256,size_bytes,classification,language,semantic_record_ids,resolution,notes
node-dom-master.zip,node-dom-master/lib/browser/index.js,402b8554324b8247abef573a915723a32c4537c180116600c14d6effefea526e,64063,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/browser/style.js,243e492e0222800ada4038efd792082fdaf9e79126f229581fba88ae9f3aa951,1933,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/dom.js,f610f370996ce04b69370fcafd2fcc7bc5845d8650841e4fc99d58345aa196a6,2873,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/ew/ew.js,b7ae3e4f2f2ac859144de770e5c6c30681c09f97ae4cab89fea52637dda96f9c,1381,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/language/javascript.js,3c0c546dd1f529d460e299d11b690090132e808e323053ed72860df03c7984f9,656,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/lib/proxy/proxy.js,120d02373773ea202a7e8d581498334d58998fdcb569decce8cac3c128c6bf64,3268,implementation,javascript,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/package.json,2735f9b8c2077d894f0b15861868ab648c1e31abac93e1a361e5cfeaf1e426aa,684,configuration,,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
node-dom-master.zip,node-dom-master/test/tests.txt,459f1f98014d6455f442ad27daeed27b6092c28f000dbb8b5486e18d3e33a55c,1543,test,,S6-021,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/HELP.md,994cf7ab1b06bdd5b7bb47b655fbe48c3928d15aca9a4a4fad74de2a7c8b8a35,4048,documentation,markdown,S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/HELP_FA.md,f912bd8464f8fbc98b934f60bb617b6917e9a4279afaf8b07dc53310215fcc0b,6556,documentation,markdown,S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/README.md,e4ff8bbd64b572f4c9e9a4606ba8e46acc09b24559ff8e75675416c72cec35e6,3705,documentation,markdown,S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/README_FA.md,23b06b085ea9dca0097016e317e20838e568f7f041fc5521696f6dd6b042b236,5182,documentation,markdown,S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/_worker.js,4f4366a1fecdaba0399e281f1c88e8a17a28621505add6b0fcf482edb4648852,130452,implementation,javascript,S6-010;S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
nahan-main.zip,nahan-main/version,c89b87c262e9d5ffd20e73aac74a1772adcc9f5a21682cc33adcf5086e5fef5c,6,other,,S6-011;S6-028,resolved-by-sixth-order-ledger,Complete archive surface accountability; disposition inherited from the linked mechanism records unless the path-specific mapping narrows it.
